Project Name,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Street Name,Type of Sale,Type of Area,Area (SQM),Unit Price ($ PSM),Nett Price($),Property Type,Number of Units,Tenure,Postal District,Market Segment,Floor Level
CLEMENTI PARK,"13,080,000","8,427.14","1,552",Jun-26,SUNSET WAY,Resale,Land,782.9,"16,707",-,Detached House,1,Freehold,21,Outside Central Region,-
HUA GUAN GARDENS,"6,800,000","1,725.47","3,941",Jun-26,HUA GUAN AVENUE,Resale,Land,160.3,"42,420",-,Terrace House,1,999 yrs lease commencing from 1883,21,Rest of Central Region,-
CLEMENTI GREEN,"6,330,000","2,783.57","2,274",Jun-26,CLEMENTI CRESCENT,Resale,Land,258.6,"24,478",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CLEMENTI PARK,"13,600,000","7,752.23","1,754",May-26,SUNSET HEIGHTS,Resale,Land,720.2,"18,884",-,Detached House,1,Freehold,21,Outside Central Region,-
MAYFAIR PARK,"1,200,000","3,287.33",365,May-26,JALAN BINGKA,Resale,Land,305.4,"3,929",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
MAYFAIR PARK,"1,400,000","3,591.95",390,May-26,JALAN GAHARU,Resale,Land,333.7,"4,195",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
RIDGEVALE GARDENS,"6,000,000","2,215.23","2,709",May-26,UPPER BUKIT TIMAH VIEW,Resale,Land,205.8,"29,155",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
CLEMENTI GARDENS,"7,100,000","3,377.74","2,102",May-26,CLEMENTI CRESCENT,Resale,Land,313.8,"22,626",-,Terrace House,1,Freehold,21,Rest of Central Region,-
MAYFAIR PARK,"2,190,000","3,540.28",619,May-26,JALAN WAJEK,Resale,Land,328.9,"6,659",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
HOOVER PARK,"7,800,000","2,975.17","2,622",Apr-26,LORONG PISANG BATU,Resale,Land,276.4,"28,220",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"4,870,000","1,531.72","3,179",Apr-26,YUK TONG AVENUE,Resale,Land,142.3,"34,223",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,700,000","4,319.59","1,783",Apr-26,TOH YI ROAD,Resale,Land,401.3,"19,188",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
CHENG SOON GARDEN,"6,830,000","3,903.03","1,750",Apr-26,CHENG SOON GARDEN,Resale,Land,362.6,"18,836",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"980,000","2,474.64",396,Apr-26,LORONG KISMIS,Resale,Land,229.9,"4,263",-,Terrace House,1,99 yrs lease commencing from 1960,21,Rest of Central Region,-
CLEMENTI PARK,"16,000,000","8,048.24","1,988",Apr-26,SUNSET CRESCENT,Resale,Land,747.7,"21,399",-,Detached House,1,Freehold,21,Outside Central Region,-
CLEMENTI PARK,"14,688,888","8,412.07","1,746",Apr-26,SUNSET VIEW,Resale,Land,781.5,"18,796",-,Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,350,000","3,918.1","1,876",Apr-26,TOH YI DRIVE,Resale,Land,364,"20,192",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
HONG KONG PARK,"11,600,000","4,984.81","2,327",Mar-26,SIAN TUAN AVENUE,Resale,Land,463.1,"25,049",-,Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
AIRVIEW PARK,"6,007,616","3,181.84","1,888",Mar-26,THAM SOONG AVENUE,Resale,Land,295.6,"20,323",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
AIRVIEW PARK,"4,500,000","2,125.89","2,117",Mar-26,YUK TONG AVENUE,Resale,Land,197.5,"22,785",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CLEMENTI PARK,"13,088,888","7,789.91","1,680",Mar-26,SUNSET CRESCENT,Resale,Land,723.7,"18,086",-,Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,300,000","3,961.15","1,843",Mar-26,TOH YI ROAD,Resale,Land,368,"19,837",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
GREENBANK PARK,"6,550,000","4,048.34","1,618",Mar-26,GREENBANK PARK,Resale,Land,376.1,"17,416",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,000,000","2,381","2,100",Mar-26,JALAN MERBOK,Resale,Land,221.2,"22,604",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
UNIQUE GARDEN,"2,535,000","3,771.71",672,Feb-26,TOH YI DRIVE,Resale,Land,350.4,"7,235",-,Semi-Detached House,1,99 yrs lease commencing from 1972,21,Rest of Central Region,-
UNIQUE GARDEN,"2,000,000","3,284.1",609,Feb-26,TOH YI DRIVE,Resale,Land,305.1,"6,555",-,Semi-Detached House,1,99 yrs lease commencing from 1972,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"9,380,000","3,616.7","2,594",Feb-26,SUNSET TERRACE,Resale,Land,336,"27,917",-,Semi-Detached House,1,Freehold,21,Outside Central Region,-
ENG KONG PARK,"4,400,000","1,816.96","2,422",Feb-26,ENG KONG ROAD,Resale,Land,168.8,"26,066",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CHENG SOON GARDEN,"7,600,000","4,346.5","1,749",Feb-26,CHENG SOON GARDEN,Resale,Land,403.8,"18,821",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
HONG KONG PARK,"11,180,000","4,720.01","2,369",Feb-26,HUA GUAN AVENUE,Resale,Land,438.5,"25,496",-,Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"10,880,000","4,636.05","2,347",Feb-26,SUNSET VIEW,Resale,Land,430.7,"25,261",-,Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"10,300,000","4,712.48","2,186",Feb-26,HUA GUAN AVENUE,Resale,Land,437.8,"23,527",-,Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"5,350,000","1,981.65","2,700",Feb-26,ENG KONG GARDEN,Resale,Land,184.1,"29,060",-,Terrace House,1,Freehold,21,Rest of Central Region,-
HOOVER PARK,"5,538,000","1,959.05","2,827",Feb-26,LORONG PISANG RAJA,Resale,Land,182,"30,429",-,Terrace House,1,Freehold,21,Rest of Central Region,-
MAYFAIR PARK,"1,350,000","3,535.97",382,Feb-26,JALAN WAJEK,Resale,Land,328.5,"4,110",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
CLEMENTI PARK,"10,500,000","4,023.58","2,610",Feb-26,SUNSET TERRACE,Resale,Land,373.8,"28,090",-,Terrace House,1,Freehold,21,Outside Central Region,-
HOOVER PARK,"6,250,000","3,238.89","1,930",Jan-26,LORONG PISANG UDANG,Resale,Land,300.9,"20,771",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,620,000","3,681.29","1,798",Jan-26,ENG KONG GARDEN,Resale,Land,342,"19,357",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"11,290,000","4,390.64","2,571",Jan-26,SUNSET VIEW,New Sale,Land,407.9,"27,678",-,Detached House,1,Freehold,21,Outside Central Region,-
CLEMENTI PARK,"7,700,000","5,646.79","1,364",Jan-26,SUNSET TERRACE,Resale,Land,524.6,"14,678",-,Semi-Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"2,900,000","1,712.55","1,693",Jan-26,TOH TUCK CRESCENT,Resale,Land,159.1,"18,228",-,Terrace House,1,99 yrs lease commencing from 1992,21,Rest of Central Region,-
HONG KONG PARK,"8,680,000","3,929.94","2,209",Jan-26,HUA GUAN AVENUE,Resale,Land,365.1,"23,774",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
THE MONDRIAN,"6,500,000","2,274.43","2,858",Jan-26,HINDHEDE PLACE,Resale,Land,211.3,"30,762",-,Semi-Detached House,1,999 yrs lease commencing from 1884,21,Outside Central Region,-
TOH TUCK GARDEN,"4,038,000","1,757.76","2,297",Dec-25,TOH TUCK CRESCENT,Resale,Land,163.3,"24,727",-,Terrace House,1,Freehold,21,Rest of Central Region,-
MAYFAIR PARK,"880,000","3,649",241,Dec-25,JALAN WAJEK,Resale,Land,339,"2,596",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
HIGHGATE PARK,"5,000,000","1,783.59","2,803",Dec-25,HIGHGATE CRESCENT,Resale,Land,165.7,"30,175",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"7,150,000","4,363.73","1,639",Dec-25,LORONG KISMIS,Resale,Land,405.4,"17,637",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"14,150,000","5,598.36","2,528",Nov-25,YARWOOD AVENUE,Resale,Land,520.1,"27,206",-,Detached House,1,999 yrs lease commencing from 1885,21,Rest of Central Region,-
MANDARIN PARK,"6,380,000","3,383.13","1,886",Nov-25,LORONG PISANG EMAS,Resale,Land,314.3,"20,299",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
HIGHGATE PARK,"5,050,000","1,783.59","2,831",Nov-25,HIGHGATE WALK,Resale,Land,165.7,"30,477",-,Terrace House,1,Freehold,21,Rest of Central Region,-
CLEMENTI PARK,"9,358,888","4,025.74","2,325",Nov-25,SUNSET TERRACE,Resale,Land,374,"25,024",-,Terrace House,1,Freehold,21,Outside Central Region,-
HONG KONG PARK,"10,280,000","3,122.64","3,292",Nov-25,SIAN TUAN AVENUE,Resale,Land,290.1,"35,436",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"30,000,000","16,278.4","1,843",Nov-25,YARWOOD AVENUE,Resale,Land,"1,512.3","19,837",-,Detached House,1,999 yrs lease commencing from 1885,21,Rest of Central Region,-
CLEMENTI PARK,"12,000,000","7,783.45","1,542",Nov-25,SUNSET WAY,Resale,Land,723.1,"16,595",-,Detached House,1,Freehold,21,Outside Central Region,-
LANDED HOUSING DEVELOPMENT,"7,188,000","4,006.36","1,794",Nov-25,TOH YI ROAD,Resale,Land,372.2,"19,312",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"6,250,000","3,257.19","1,919",Nov-25,DUNEARN ROAD,Resale,Land,302.6,"20,654",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
HIGHGATE PARK,"4,800,000","1,783.59","2,691",Oct-25,HIGHGATE CRESCENT,Resale,Land,165.7,"28,968",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"23,000,000","11,662.79","1,972",Oct-25,JALAN KAMPONG CHANTEK,Resale,Land,"1,083.5","21,228",-,Detached House,1,Freehold,21,Rest of Central Region,-
TOH TUCK GARDEN,"6,150,000","3,364.83","1,828",Oct-25,TOH TUCK PLACE,Resale,Land,312.6,"19,674",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,120,000","3,200.14","2,537",Oct-25,SUNSET WAY,Resale,Land,297.3,"27,312",-,Terrace House,1,Freehold,21,Outside Central Region,-
HUA GUAN GARDENS,"5,350,000","1,826.65","2,929",Oct-25,HUA GUAN CRESCENT,Resale,Land,169.7,"31,526",-,Terrace House,1,999 yrs lease commencing from 1883,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,228,000","3,467.08","2,373",Oct-25,CHUN TIN ROAD,Resale,Land,322.1,"25,545",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
AIRVIEW PARK,"5,700,000","3,202.29","1,780",Sep-25,THAM SOONG AVENUE,Resale,Land,297.5,"19,160",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
MAYFAIR PARK,"850,000","3,204.44",265,Sep-25,JALAN BINGKA,Resale,Land,297.7,"2,855",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
MANDARIN PARK,"4,652,888","2,061.31","2,257",Sep-25,YUK TONG AVENUE,Resale,Land,191.5,"24,297",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"3,330,000","9,923.33",336,Sep-25,BUKIT AYER MOLEK,Resale,Land,921.9,"3,612",-,Detached House,1,99 yrs lease commencing from 1957,21,Rest of Central Region,-
ENG KONG PARK,"7,150,000","3,293.78","2,171",Sep-25,ENG KONG GARDEN,Resale,Land,306,"23,366",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
HOOVER PARK,"4,238,000","1,847.1","2,294",Aug-25,LORONG PISANG RAJA,Resale,Land,171.6,"24,697",-,Terrace House,1,Freehold,21,Rest of Central Region,-
MAYFAIR PARK,"1,000,000","3,332.53",300,Aug-25,JALAN KERIA,Resale,Land,309.6,"3,230",-,Semi-Detached House,1,99 yrs lease commencing from 1952,21,Rest of Central Region,-
HOOVER PARK,"6,100,000","3,189.37","1,913",Aug-25,CHUN TIN ROAD,Resale,Land,296.3,"20,587",-,Terrace House,1,Freehold,21,Rest of Central Region,-
LANDED HOUSING DEVELOPMENT,"8,550,000","3,199.06","2,673",Aug-25,SUNSET WAY,Resale,Land,297.2,"28,769",-,Semi-Detached House,1,Freehold,21,Outside Central Region,-
RIDGEVALE GARDENS,"5,300,000","2,309.95","2,294",Aug-25,UPPER BUKIT TIMAH VIEW,Resale,Land,214.6,"24,697",-,Semi-Detached House,1,Freehold,21,Rest of Central Region,-
ENG KONG PARK,"4,430,000","1,982.73","2,234",Aug-25,ENG KONG GARDEN,Resale,Land,184.2,"24,050",-,Terrace House,1,Freehold,21,Rest of Central Region,-
HONG KONG PARK,"11,800,000","5,702.77","2,069",Aug-25,SIAN TUAN AVENUE,Resale,Land,529.8,"22,273",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
HONG KONG PARK,"7,630,000","3,321.77","2,297",Aug-25,HUA GUAN AVENUE,Resale,Land,308.6,"24,725",-,Semi-Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
HOCK SENG PARK,"8,300,000","5,000.95","1,660",Aug-25,JALAN JAMBU MAWAR,Resale,Land,464.6,"17,865",-,Semi-Detached House,1,999 yrs lease commencing from 1875,21,Rest of Central Region,-
HONG KONG PARK,"10,820,000","4,811.51","2,249",Aug-25,HUA GUAN AVENUE,Resale,Land,447,"24,206",-,Detached House,1,999 yrs lease commencing from 1879,21,Rest of Central Region,-
